33M Combined_Bin,33M Combined_Counts,125M Combined_Bin,125M Combined_Counts,desi_Bin,desi_Counts,sos_Bin,sos_Counts,lamost_Bin,lamost_Counts,sdss_Bin,sdss_Counts,others_Bin,others_Counts
-3.580000000000025,330.0000000000249,-3.8550000000000253,527.9999999999761,-3.580000000000025,291.9999999999652,-3.8550000000000253,2.000000000010303,-3.0650000000000253,9.999999999980105,-3.610000000000025,4.973799150320807e-12,-3.0600000000000254,28.000000000008527
-3.570000000000025,298.9999999998906,-3.8450000000000255,496.0000000000685,-3.570000000000025,252.99999999993037,-3.8450000000000255,4.8849813083516606e-12,-3.0550000000000255,8.000000000019718,-3.6000000000000254,1.0,-3.0500000000000256,24.000000000014033
-3.5600000000000254,372.99999999986824,-3.8350000000000257,555.9999999998146,-3.5600000000000254,317.99999999990564,-3.8350000000000257,2.999999999989697,-3.0450000000000257,2.000000000004974,-3.5900000000000256,1.0,-3.040000000000026,27.999999999989697
-3.5500000000000256,366.9999999999775,-3.825000000000026,491.00000000006474,-3.5500000000000256,326.9999999999595,-3.825000000000026,2.000000000010303,-3.035000000000026,7.99999999997895,-3.580000000000026,3.0000000000000004,-3.030000000000026,31.999999999979394
-3.540000000000026,355.9999999999485,-3.815000000000026,525.000000000152,-3.540000000000026,297.9999999999434,-3.815000000000026,0.9999999999949374,-3.025000000000026,14.999999999990141,-3.570000000000026,1.9999999999948486,-3.020000000000026,23.000000000034994
-3.530000000000026,402.00000000001035,-3.8050000000000264,615.9999999995268,-3.530000000000026,353.0000000000309,-3.8050000000000264,1.9999999999997335,-3.0150000000000263,13.999999999988098,-3.5600000000000263,1.9999999999999112,-3.0100000000000264,24.000000000004263
-3.520000000000026,424.99999999993474,-3.7950000000000266,532.0000000003304,-3.520000000000026,377.999999999932,-3.7950000000000266,3.0000000000053295,-3.0050000000000265,3.000000000031975,-3.5500000000000265,2.999999999994582,-3.0000000000000266,24.99999999999467
-3.5100000000000264,440.9999999998905,-3.785000000000027,417.00000000033526,-3.5100000000000264,399.99999999983424,-3.785000000000027,2.0,-2.9950000000000268,9.999999999989342,-3.5400000000000267,3.0,-2.990000000000027,23.99999999999467
-3.5000000000000266,487.9999999999467,-3.775000000000027,368.00000000011147,-3.5000000000000266,412.0000000001066,-3.775000000000027,1.9999999999947597,-2.985000000000027,9.999999999989342,-3.530000000000027,5.0,-2.980000000000027,21.000000000031353
-3.490000000000027,431.0000000000799,-3.765000000000027,364.999999999839,-3.490000000000027,378.99999999998397,-3.765000000000027,0.9999999999997335,-2.975000000000027,8.00000000002105,-3.520000000000027,2.0000000000052403,-2.9700000000000273,23.999999999988365
-3.480000000000027,503.9999999998987,-3.7550000000000274,334.0000000001487,-3.480000000000027,441.9999999999229,-3.7550000000000274,1.9999999999944933,-2.9650000000000274,7.000000000010747,-3.5100000000000273,5.4178883601708794e-12,-2.9600000000000275,21.0
-3.4700000000000273,513.9999999999401,-3.7450000000000276,324.00000000002206,-3.4700000000000273,463.99999999989893,-3.7450000000000276,2.0000000000055067,-2.9550000000000276,6.999999999977973,-3.5000000000000275,5.999999999977973,-2.9500000000000277,21.0
-3.4600000000000275,536.9999999998404,-3.735000000000028,315.0000000000193,-3.4600000000000275,490.9999999998183,-3.735000000000028,4.999999999994316,-2.945000000000028,7.000000000011013,-3.4900000000000277,2.0000000000110134,-2.940000000000028,25.000000000005507
