LOW,HIGH,t2_not_33m>10_COUNT,t1_desi<10_COUNT,t1_boss<10_COUNT,t1_others <10_COUNT,t3_not_220m>10_COUNT,t3_not_17m>10_COUNT
0.71,0.72,3.259594802122433E-4,0.038321879167094064,0.0019342359767891683,0.017,0.0,0.0
0.72,0.73,3.074041893171492E-4,0.0362088419325059,0.0,0.016,2.0098432071068057E-6,0.0
0.73,0.74,2.835891309242332E-4,0.03480698875098301,0.0019342359767891683,0.013000000000000001,1.5073824053301042E-6,0.0
0.74,0.75,2.811053518280395E-4,0.03365815297295449,0.0,0.007,5.024608017767014E-7,0.0
0.75,0.76,2.5918965392044807E-4,0.030813416760693407,0.0,0.004,0.0,0.0
0.76,0.77,2.5743639808784073E-4,0.030191130714261293,0.0,0.005,5.024608017767014E-7,0.0
0.77,0.78,2.343518629585111E-4,0.028549936745649127,0.0,0.009000000000000001,5.024608017767014E-7,0.0
0.78,0.79,2.2207907213025988E-4,0.027613088521899684,0.0019342359767891683,0.002,5.024608017767014E-7,0.0
0.79,0.8,2.2733883962808182E-4,0.026327486579820154,0.0,0.003,5.024608017767014E-7,0.0
0.8,0.81,2.1097511852374688E-4,0.025035046329538072,0.0019342359767891683,0.002,0.0,0.0
0.81,0.8200000000000001,2.0191663005527576E-4,0.0243238622764728,0.0,0.008,0.0,0.0
0.8200000000000001,0.8300000000000001,1.9519581603028106E-4,0.02340069066912846,0.0,0.003,1.5073824053301042E-6,0.0
0.8300000000000001,0.8400000000000001,1.8423796707648534E-4,0.021780011625123944,0.0019342359767891683,0.005,5.024608017767014E-7,0.0
0.8400000000000001,0.8500000000000001,1.7927040888409795E-4,0.020494409683044414,0.0019342359767891683,0.004,0.0,0.0
0.8500000000000001,0.8600000000000001,1.7678662978790424E-4,0.020391835060006157,0.0,0.004,0.0,0.0
0.86,0.87,1.6743593201399857E-4,0.020063596266283724,0.0019342359767891683,0.004,0.0,0.0
0.87,0.88,1.58669652850962E-4,0.018538653537114917,0.0,0.005,0.0,0.0
0.88,0.89,1.4829622250803537E-4,0.018094163503949125,0.0019342359767891683,0.005,0.0,0.0
0.89,0.9,1.4858843181346994E-4,0.017526583923137416,0.0,0.002,5.024608017767014E-7,0.0
0.9,0.91,1.3952994334499882E-4,0.016822238178274697,0.0,0.001,0.0,0.0
0.91,0.92,1.3251692001456955E-4,0.016042671043183916,0.0,0.0,0.0,0.0
0.9199999999999999,0.9299999999999999,1.259422106422921E-4,0.015420384996751805,0.0019342359767891683,0.001,0.0,0.0
0.9299999999999999,0.94,1.3193250140370046E-4,0.014449345231989607,0.0,0.003,0.0,0.0
0.94,0.95,1.3003314091837587E-4,0.014216842753102883,0.0,0.0,0.0,0.0
0.95,0.96,1.1527657099393096E-4,0.013874927342975348,0.0,0.0,5.024608017767014E-7,0.0
0.96,0.97,1.1103953606512994E-4,0.013143228365302425,0.0019342359767891683,0.005,0.0,0.0
0.97,0.98,1.032959894711143E-4,0.012076452285704517,0.0,0.005,0.0,0.0
0.98,0.99,1.0811744301078442E-4,0.012391014463021849,0.0,0.002,0.0,0.0
0.99,1.0,1.0417261738741795E-4,0.012124320443122371,0.0,0.0,0.0,0.0
1.0,1.01,1.0052000106948606E-4,0.01131740007522139,0.0,0.0,0.0,0.0
