LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
2.4381321635647175E-4,2.457180071092566E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.457180071092566E-4,2.476376790397976E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.476376790397976E-4,2.4957234840729595E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
2.495723484072962E-4,2.5152213237922814E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.5152213237922814E-4,2.5348714903844076E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.5348714903844076E-4,2.554675173903035E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.554675173903038E-4,2.5746335736991544E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
2.5746335736991544E-4,2.594747898493678E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.594747898493678E-4,2.6150193664506595E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.615019366450662E-4,2.6354492052510574E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.6354492052510546E-4,2.6560386521670774E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.65603865216708E-4,2.676788954137135E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.6767889541371375E-4,2.697701367841333E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.69770136784133E-4,2.7187771597775897E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.718777159777593E-4,2.7400176063383544E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.7400176063383544E-4,2.761423993887872E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
2.761423993887872E-4,2.78299761884012E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.782997618840123E-4,2.8047397877373106E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.8047397877373106E-4,2.8266518173290073E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.8266518173290073E-4,2.8487350346518897E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.8487350346518924E-4,2.8709907771101094E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.8709907771101094E-4,2.8934203925562815E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.8934203925562815E-4,2.9160252393731266E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.9160252393731293E-4,2.9388066865557313E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.9388066865557313E-4,2.961766113794447E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.961766113794447E-4,2.984904911558465E-4,0.0,0.0,0.0,0.0,0.0,0.0
2.9849049115584684E-4,3.008224481180018E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.008224481180015E-4,3.0317262349392326E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
3.031726234939236E-4,3.055411596149698E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
3.055411596149698E-4,3.0792819992446165E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.0792819992446165E-4,3.103338889863714E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.103338889863717E-4,3.1275837249407763E-4,0.0,0.0,2.8051277735700862E-5,0.0,2.647849284418731E-5,0.0
3.1275837249407763E-4,3.1520179727918753E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.1520179727918753E-4,3.1766431132043113E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.1766431132043146E-4,3.201460637526222E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.201460637526222E-4,3.2264720487568945E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.2264720487568945E-4,3.251678861637807E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.2516788616378104E-4,3.277082602744355E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.277082602744355E-4,3.302684810578294E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.302684810578294E-4,3.328487035660936E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.3284870356609396E-4,3.3544908406270393E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.354490840627036E-4,3.3806978003194337E-4,0.0,0.0,2.8051277735700862E-5,0.0,2.647849284418731E-5,0.0
3.3806978003194375E-4,3.407109501884432E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.407109501884432E-4,3.433727544867903E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.433727544867903E-4,3.460553541312182E-4,0.0,0.0,2.8051277735700862E-5,0.0,1.3239246422093654E-5,0.0
3.460553541312186E-4,3.4875891158536867E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
3.4875891158536867E-4,3.5148359058212924E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
3.5148359058212924E-4,3.5422955613355204E-4,0.0,0.0,5.6102555471401724E-5,0.0,3.971773926628096E-5,0.0
3.5422955613355236E-4,3.5699697454084564E-4,0.0,0.0,4.908973603747651E-5,0.0,3.971773926628096E-5,0.0
3.5699697454084564E-4,3.597860134044459E-4,0.0,0.0,1.4025638867850431E-5,0.0,1.3239246422093654E-5,0.0
3.597860134044459E-4,3.6259684163416803E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.625968416341684E-4,3.654296294594352E-4,0.0,0.0,4.908973603747651E-5,0.0,3.971773926628096E-5,0.0
3.654296294594352E-4,3.6828454843958696E-4,0.0,0.0,5.6102555471401724E-5,0.0,2.647849284418731E-5,0.0
3.6828454843958696E-4,3.7116177147427114E-4,0.0,0.0,2.8051277735700862E-5,0.0,3.971773926628096E-5,0.0
3.711617714742715E-4,3.7406147281391413E-4,0.0,0.0,9.817947207495302E-5,0.0,6.619623211046827E-5,0.0
3.7406147281391375E-4,3.7698382807027235E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
3.7698382807027273E-4,3.799290142270716E-4,0.0,0.0,7.012819433925216E-5,0.0,5.295698568837462E-5,0.0
3.799290142270716E-4,3.828972096507205E-4,0.0,0.0,2.8051277735700862E-5,0.0,1.3239246422093654E-5,0.0
3.828972096507205E-4,3.8588859410111664E-4,0.0,0.0,0.0,0.0,0.0,0.0
3.8588859410111707E-4,3.8890334874253194E-4,0.0,0.0,4.908973603747651E-5,0.0,3.971773926628096E-5,0.0
3.8890334874253194E-4,3.9194165615458285E-4,0.0,0.0,2.1038458301775647E-5,0.0,1.3239246422093654E-5,0.0
